,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,34.40269815655976,4.484169075948883e-09,1.7936676303795533e-08,444870.0,1,4,1,0.055042550831558505
0,29.181718400267922,2.1250638738652334e-13,8.500255495460933e-13,444867.0,2,4,2,3.035805604048006e-14
0,38.44959200599548,7.801651274962389e-25,3.1206605099849556e-24,444864.0,3,4,3,1.9255198564137415e-12
0,23.215063081041688,3.26379008872436e-19,1.305516035489744e-18,444861.0,4,4,4,4.663798066455958e-20
0,18.796190111019396,9.828423298367157e-19,3.931369319346863e-18,444858.0,5,4,5,1.4071414294008e-19
0,14.405484958885799,1.6724461732035817e-16,6.689784692814327e-16,444855.0,6,4,6,2.3892745776591582e-17
0,11.003723012909587,5.572779921014461e-14,2.2291119684057844e-13,444852.0,7,4,7,7.961114266341443e-15
0,9.03721263725938,1.715828795551311e-12,6.863315182205244e-12,444849.0,8,4,8,2.451183993813855e-13
0,7.232774889424094,1.385270269398912e-10,5.541081077595648e-10,444846.0,9,4,9,1.9789575277134253e-11
0,6.171433779259382,1.7175034877834314e-09,6.8700139511337254e-09,444843.0,10,4,10,2.4535764111191996e-10
0,5.163868583326676,3.622500909224782e-08,1.4490003636899127e-07,444840.0,11,4,11,5.175001298892546e-09
0,4.643669916384125,1.3434259875899456e-07,5.373703950359783e-07,444837.0,12,4,12,1.919179982271351e-08
0,3.9755774500583514,1.5310689528294444e-06,6.1242758113177775e-06,444834.0,13,4,13,2.1872413611849206e-07
0,3.6465195235761625,4.069985470889856e-06,1.6279941883559426e-05,444831.0,14,4,14,5.81426495841408e-07
0,3.220610829376549,2.2685628893205213e-05,9.074251557282085e-05,444828.0,15,4,15,3.2408041276007448e-06
0,2.981399634103031,5.29253086192744e-05,0.0002117012344770976,444825.0,16,4,16,7.5607583741820575e-06
0,2.689595211740098,0.00018999412728432712,0.0007599765091373085,444822.0,17,4,17,2.7142018183475303e-05
0,2.543714832358879,0.0003188309061327248,0.0012753236245308993,444819.0,18,4,18,4.554727230467497e-05
0,2.339222332356299,0.0008195144213326035,0.003278057685330414,444816.0,19,4,19,0.0001170734887618005
0,2.2331844064858664,0.0012258843343793317,0.004903537337517327,444813.0,20,4,20,0.00017512633348276167
0,67.03412538942229,2.6906113862778944e-16,1.0762445545111578e-15,139983.0,1,8,1,0.055042550831558505
0,808.0544222076803,0.0,0.0,139980.0,2,8,2,3.035805604048006e-14
0,7905.798818437944,0.0,0.0,139977.0,3,8,3,1.9255198564137415e-12
0,4728.2666376585685,0.0,0.0,139974.0,4,8,4,4.663798066455958e-20
0,3288.96254667375,0.0,0.0,139971.0,5,8,5,1.4071414294008e-19
0,2361.9115497424364,0.0,0.0,139968.0,6,8,6,2.3892745776591582e-17
0,2052.228975852201,0.0,0.0,139965.0,7,8,7,7.961114266341443e-15
0,1730.2642593339613,0.0,0.0,139962.0,8,8,8,2.451183993813855e-13
0,1571.667842656057,0.0,0.0,139959.0,9,8,9,1.9789575277134253e-11
0,1437.991425512166,0.0,0.0,139956.0,10,8,10,2.4535764111191996e-10
0,1255.4149015800829,0.0,0.0,139953.0,11,8,11,5.175001298892546e-09
0,1179.554362530858,0.0,0.0,139950.0,12,8,12,1.919179982271351e-08
0,1057.6457504633224,0.0,0.0,139947.0,13,8,13,2.1872413611849206e-07
0,1007.0451402054175,0.0,0.0,139944.0,14,8,14,5.81426495841408e-07
0,920.1076246925185,0.0,0.0,139941.0,15,8,15,3.2408041276007448e-06
0,894.3718026535136,0.0,0.0,139938.0,16,8,16,7.5607583741820575e-06
0,815.8276489581393,0.0,0.0,139935.0,17,8,17,2.7142018183475303e-05
0,795.2382500711448,0.0,0.0,139932.0,18,8,18,4.554727230467497e-05
0,734.077437912427,0.0,0.0,139929.0,19,8,19,0.0001170734887618005
0,711.817958966094,0.0,0.0,139926.0,20,8,20,0.00017512633348276167
0,85.4488217690023,2.3930430616931144e-20,9.572172246772457e-20,291626.0,1,10,1,0.055042550831558505
0,46.773197759707784,4.896837105063903e-21,1.958734842025561e-20,291623.0,2,10,2,3.035805604048006e-14
0,416.80857627392317,3.1905529384619544e-270,1.2762211753847818e-269,291620.0,3,10,3,1.9255198564137415e-12
0,523.4843197804046,0.0,0.0,291617.0,4,10,4,4.663798066455958e-20
0,551.345863601281,0.0,0.0,291614.0,5,10,5,1.4071414294008e-19
0,459.0271335130204,0.0,0.0,291611.0,6,10,6,2.3892745776591582e-17
0,356.7404178033587,0.0,0.0,291608.0,7,10,7,7.961114266341443e-15
0,276.9878894322416,0.0,0.0,291605.0,8,10,8,2.451183993813855e-13
0,209.1340335981955,0.0,0.0,291602.0,9,10,9,1.9789575277134253e-11
0,165.72546146245566,0.0,0.0,291599.0,10,10,10,2.4535764111191996e-10
0,128.52345106160718,6.993880082000948e-296,2.797552032800379e-295,291596.0,11,10,11,5.175001298892546e-09
0,106.26872457897115,4.2639313657578486e-265,1.7055725463031394e-264,291593.0,12,10,12,1.919179982271351e-08
0,85.96923842656756,2.6669088809342168e-230,1.0667635523736867e-229,291590.0,13,10,13,2.1872413611849206e-07
0,74.40627638257999,4.38677630043157e-213,1.754710520172628e-212,291587.0,14,10,14,5.81426495841408e-07
0,62.91960759175997,3.1153745913835375e-191,1.246149836553415e-190,291584.0,15,10,15,3.2408041276007448e-06
0,56.40998237618504,1.5506253323357327e-181,6.202501329342931e-181,291581.0,16,10,16,7.5607583741820575e-06
0,49.771814916064955,1.2091792758290677e-168,4.836717103316271e-168,291578.0,17,10,17,2.7142018183475303e-05
0,46.3945356107198,1.8961909604510603e-165,7.584763841804241e-165,291575.0,18,10,18,4.554727230467497e-05
0,42.569716012158445,4.893446611507934e-159,1.9573786446031735e-158,291572.0,19,10,19,0.0001170734887618005
