,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,62.38228583814101,2.840103459941197e-15,1.1360413839764788e-14,246454.0,1,1,1,0.18416917005288652
0,25.435821983127187,9.005396087212959e-12,3.6021584348851835e-11,246451.0,2,1,2,0.11439141471177096
0,1318.2143349839182,0.0,0.0,246448.0,3,1,3,0.053852801402524075
0,1255.5611956133673,0.0,0.0,246445.0,4,1,4,0.05546694066336395
0,909.6391310775981,0.0,0.0,246442.0,5,1,5,0.05690502343104383
0,755.8253868245674,0.0,0.0,246439.0,6,1,6,0.057272896734103976
0,611.8255846115625,0.0,0.0,246436.0,7,1,7,0.0578928358751682
0,529.5203034750635,0.0,0.0,246433.0,8,1,8,0.05930100212895847
0,457.2511930808084,0.0,0.0,246430.0,9,1,9,0.06166786393066094
0,408.43645650993835,0.0,0.0,246427.0,10,1,10,0.06411136875201084
0,365.7574800700697,0.0,0.0,246424.0,11,1,11,0.06860473954935999
0,331.94207452310866,0.0,0.0,246421.0,12,1,12,0.07041015035591655
0,303.1413343899817,0.0,0.0,246418.0,13,1,13,0.07486629981948827
0,279.11138582229256,0.0,0.0,246415.0,14,1,14,0.07614863381623978
0,258.8525953729801,0.0,0.0,246412.0,15,1,15,0.07959261739290364
0,240.07638282408604,0.0,0.0,246409.0,16,1,16,0.08087620041763101
0,225.23584815435223,0.0,0.0,246406.0,17,1,17,0.0828107734077386
0,210.78424564654634,0.0,0.0,246403.0,18,1,18,0.08421508334373214
0,199.51165477129464,0.0,0.0,246400.0,19,1,19,0.08405283660348309
0,187.83528205159772,0.0,0.0,246397.0,20,1,20,0.0851020249352896
0,15.912196711832724,6.637684028307428e-05,0.00026550736113229714,174255.0,1,2,1,0.18416917005288652
0,851.8989136630289,0.0,0.0,174252.0,2,2,2,0.11439141471177096
0,5991.766308650086,0.0,0.0,174249.0,3,2,3,0.053852801402524075
0,5567.9825053352215,0.0,0.0,174246.0,4,2,4,0.05546694066336395
0,8880.11094969499,0.0,0.0,174243.0,5,2,5,0.05690502343104383
0,8644.040679919155,0.0,0.0,174240.0,6,2,6,0.057272896734103976
0,7953.786915860638,0.0,0.0,174237.0,7,2,7,0.0578928358751682
0,7579.856989803084,0.0,0.0,174234.0,8,2,8,0.05930100212895847
0,6776.585431689569,0.0,0.0,174231.0,9,2,9,0.06166786393066094
0,6261.801134795111,0.0,0.0,174228.0,10,2,10,0.06411136875201084
0,5731.528695788087,0.0,0.0,174225.0,11,2,11,0.06860473954935999
0,5262.642553889366,0.0,0.0,174222.0,12,2,12,0.07041015035591655
0,4885.237512054741,0.0,0.0,174219.0,13,2,13,0.07486629981948827
0,4516.310707010116,0.0,0.0,174216.0,14,2,14,0.07614863381623978
0,4222.819760835671,0.0,0.0,174213.0,15,2,15,0.07959261739290364
0,3941.9079270254388,0.0,0.0,174210.0,16,2,16,0.08087620041763101
0,3706.33946585856,0.0,0.0,174207.0,17,2,17,0.0828107734077386
0,3490.1211061214913,0.0,0.0,174204.0,18,2,18,0.08421508334373214
0,3299.7308982804893,0.0,0.0,174201.0,19,2,19,0.08405283660348309
0,3127.516350456818,0.0,0.0,174198.0,20,2,20,0.0851020249352896
0,0.7865656420884279,0.37514416841089093,1.5005766736435637,60181.0,1,3,1,0.18416917005288652
0,0.7910461626148863,0.4533749623345058,1.8134998493380232,60178.0,2,3,2,0.11439141471177096
0,51.84711699323513,1.8547045912862196e-33,7.418818365144878e-33,60175.0,3,3,3,0.053852801402524075
0,37.515030166183514,2.1644149842011094e-31,8.657659936804438e-31,60172.0,4,3,4,0.05546694066336395
0,37.88461190023124,5.994092350362201e-39,2.3976369401448803e-38,60169.0,5,3,5,0.05690502343104383
0,23.840110650316163,2.4770293193252376e-28,9.90811727730095e-28,60166.0,6,3,6,0.057272896734103976
