,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,6.716809356482119,0.009552515366689869,0.038210061466759475,82561.0,1,0,1,0.4241096575810491
0,3.563217845229993,0.028351819672378775,0.1134072786895151,82558.0,2,0,2,0.3962460506941782
0,3.368624969234924,0.017691787886951825,0.0707671515478073,82555.0,3,0,3,0.3829955251393535
0,3.0267437629044234,0.016578520826137578,0.06631408330455031,82552.0,4,0,4,0.36616316111814673
0,2.521853358356506,0.027336860343897634,0.10934744137559053,82549.0,5,0,5,0.38653922405124774
0,2.1343706918925154,0.046230027937048196,0.18492011174819278,82546.0,6,0,6,0.35468613603302046
0,1.8329675899593898,0.07635611941447185,0.3054244776578874,82543.0,7,0,7,0.33537291895036603
0,1.7884247901067574,0.07411392924466109,0.29645571697864437,82540.0,8,0,8,0.3656466471031264
0,1.6096088252357397,0.10606271961337345,0.4242508784534938,82537.0,9,0,9,0.3436110964988312
0,1.5030730003909067,0.13096867844543372,0.5238747137817349,82534.0,10,0,10,0.3698621030339985
0,1.3600883945426252,0.1843155432018902,0.7372621728075608,82531.0,11,0,11,0.38633724301651484
0,1.3300812326224263,0.1930566275338447,0.7722265101353788,82528.0,12,0,12,0.38762061993384606
0,1.2254123071234024,0.2529368178874445,1.011747271549778,82525.0,13,0,13,0.44165267792997104
0,1.2636955821655822,0.2212125023284722,0.8848500093138888,82522.0,14,0,14,0.455730050627868
0,1.2070680261067397,0.25716180171408787,1.0286472068563515,82519.0,15,0,15,0.43063658995664567
0,1.1284873456848037,0.3206655327162804,1.2826621308651216,82516.0,16,0,16,0.41618724629837056
0,1.0674690703164906,0.37964749258734504,1.5185899703493801,82513.0,17,0,17,0.4383645810142227
0,1.1165292455757438,0.3273836644762325,1.30953465790493,82510.0,18,0,18,0.4281150413994746
0,1.0995262422232261,0.34288244175295957,1.3715297670118383,82507.0,19,0,19,0.41959205809677186
0,1.0653004587504622,0.3793465457288901,1.5173861829155604,82504.0,20,0,20,0.42900338483243555
0,0.03338341167191407,0.8550247768798774,3.4200991075195097,174754.0,1,3,1,0.4241096575810491
0,0.09611208631308041,0.9083622434268148,3.6334489737072593,174751.0,2,3,2,0.3962460506941782
0,0.10239912041018448,0.9586691007597158,3.834676403038863,174748.0,3,3,3,0.3829955251393535
0,0.10914245874166768,0.9793746452286703,3.9174985809146814,174745.0,4,3,4,0.36616316111814673
0,0.3294588495187782,0.8954709461227893,3.5818837844911573,174742.0,5,3,5,0.38653922405124774
0,0.47497378289546277,0.8274423329232645,3.309769331693058,174739.0,6,3,6,0.35468613603302046
0,0.4094546985828318,0.897097691097356,3.588390764389424,174736.0,7,3,7,0.33537291895036603
0,0.35853328417703667,0.9423489066296885,3.769395626518754,174733.0,8,3,8,0.3656466471031264
0,0.4808073576981894,0.8885810450569952,3.554324180227981,174730.0,9,3,9,0.3436110964988312
0,0.4339058613657513,0.9307555828040082,3.7230223312160327,174727.0,10,3,10,0.3698621030339985
0,0.5463915142427656,0.8726722374701139,3.4906889498804556,174724.0,11,3,11,0.38633724301651484
0,0.6144502162436752,0.8319798737709251,3.3279194950837003,174721.0,12,3,12,0.38762061993384606
0,0.5690714560524266,0.8804932696108753,3.521973078443501,174718.0,13,3,13,0.44165267792997104
0,0.5357732780425569,0.9136754196000862,3.654701678400345,174715.0,14,3,14,0.455730050627868
0,0.5618846326134233,0.9054631353354975,3.62185254134199,174712.0,15,3,15,0.43063658995664567
0,0.6264137203768259,0.8654384258699401,3.4617537034797605,174709.0,16,3,16,0.41618724629837056
0,0.5905312191678238,0.9019595110425234,3.6078380441700935,174706.0,17,3,17,0.4383645810142227
0,0.5644995233401784,0.9265188605031862,3.706075442012745,174703.0,18,3,18,0.4281150413994746
0,0.6987362060038594,0.82413996721029,3.29655986884116,174700.0,19,3,19,0.41959205809677186
0,0.6712397094768947,0.8584152450070603,3.4336609800282414,174697.0,20,3,20,0.42900338483243555
0,2.393567058450271,0.12183824076015022,0.4873529630406009,109218.0,1,5,1,0.4241096575810491
0,1.5876804608772763,0.20440389174807272,0.8176155669922909,109215.0,2,5,2,0.3962460506941782
0,2.228809356640081,0.08259952725519529,0.33039810902078115,109212.0,3,5,3,0.3829955251393535
0,2.2647804808043213,0.059645735173507984,0.23858294069403194,109209.0,4,5,4,0.36616316111814673
0,2.796109107399208,0.01573796595943307,0.06295186383773228,109206.0,5,5,5,0.38653922405124774
0,2.3556737363029883,0.02818113785096893,0.11272455140387572,109203.0,6,5,6,0.35468613603302046
0,3.113252697741185,0.0027598036444908517,0.011039214577963407,109200.0,7,5,7,0.33537291895036603
0,2.7349415199012888,0.005147069724021121,0.020588278896084482,109197.0,8,5,8,0.3656466471031264
0,2.4334233826918483,0.009203607837338573,0.03681443134935429,109194.0,9,5,9,0.3436110964988312
0,2.2227080966729043,0.013995509966133246,0.055982039864532984,109191.0,10,5,10,0.3698621030339985
0,2.3155791367603884,0.007777638821329458,0.031110555285317833,109188.0,11,5,11,0.38633724301651484
0,2.1286615541545024,0.012452839584030057,0.04981135833612023,109185.0,12,5,12,0.38762061993384606
0,1.9820761122335724,0.018277204700140364,0.07310881880056146,109182.0,13,5,13,0.44165267792997104
0,2.0597489632697763,0.011003164736008394,0.04401265894403358,109179.0,14,5,14,0.455730050627868
0,1.9885543321051165,0.012564558621255975,0.0502582344850239,109176.0,15,5,15,0.43063658995664567
0,1.8951549980334959,0.016410958012515704,0.06564383205006281,109173.0,16,5,16,0.41618724629837056
0,1.787824558737924,0.0236600717653295,0.094640287061318,109170.0,17,5,17,0.4383645810142227
0,1.7001103006010119,0.032006413463966196,0.12802565385586478,109167.0,18,5,18,0.4281150413994746
0,1.6221609711480598,0.04225609356587954,0.16902437426351816,109164.0,19,5,19,0.41959205809677186
0,1.547413724973392,0.055901526307083456,0.22360610522833382,109161.0,20,5,20,0.42900338483243555
0,0.8169641599414197,0.3660718513977852,1.4642874055911408,84410.0,1,8,1,0.4241096575810491
0,1.3820104633789139,0.2510789528922899,1.0043158115691595,84407.0,2,8,2,0.3962460506941782
0,1.8826991940427755,0.13005299121684058,0.5202119648673623,84404.0,3,8,3,0.3829955251393535
0,1.579726670907856,0.17657522568267908,0.7063009027307163,84401.0,4,8,4,0.36616316111814673
0,1.2648177172078212,0.27595962337073904,1.1038384934829562,84398.0,5,8,5,0.38653922405124774
0,1.3697101239727605,0.22255938956315025,0.890237558252601,84395.0,6,8,6,0.35468613603302046
0,1.2074478383754883,0.29443056529979333,1.1777222611991733,84392.0,7,8,7,0.33537291895036603
0,1.0904193708169134,0.3661806480610031,1.4647225922440124,84389.0,8,8,8,0.3656466471031264
0,0.9842230283064135,0.4504925488294026,1.8019701953176104,84386.0,9,8,9,0.3436110964988312
0,0.8855958419359147,0.5458304410998185,2.183321764399274,84383.0,10,8,10,0.3698621030339985
0,0.8969687844597882,0.5424245578277134,2.1696982313108535,84380.0,11,8,11,0.38633724301651484
0,0.838355189448277,0.6106740983585162,2.4426963934340646,84377.0,12,8,12,0.38762061993384606
0,0.7738198186407081,0.6890442265947773,2.756176906379109,84374.0,13,8,13,0.44165267792997104
0,0.7273156618575576,0.7487204455027923,2.994881782011169,84371.0,14,8,14,0.455730050627868
0,0.7515830700929781,0.7329502107204009,2.9318008428816036,84368.0,15,8,15,0.43063658995664567
0,0.8859830166687775,0.585625326094666,2.342501304378664,84365.0,16,8,16,0.41618724629837056
0,0.8780531890663011,0.6007462773789084,2.4029851095156336,84362.0,17,8,17,0.4383645810142227
