,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,28.29571448829373,1.0439658671542265e-07,4.175863468616906e-07,82561.0,1,0,1,0.2050547040517252
0,0.40147289697960337,0.6693347671407253,2.677339068562901,82558.0,2,0,2,0.1495903483455146
0,3696.548648658041,0.0,0.0,82555.0,3,0,3,3.609152398351626e-18
0,4643.695679642937,0.0,0.0,82552.0,4,0,4,3.0202093071681768e-21
0,2162.7331204089805,0.0,0.0,82549.0,5,0,5,6.697927818217166e-18
0,1127.0307749985473,0.0,0.0,82546.0,6,0,6,1.1848741441438623e-18
0,725.5851555448023,0.0,0.0,82543.0,7,0,7,4.1304429200505823e-16
0,610.1879768623558,0.0,0.0,82540.0,8,0,8,2.6467394366895815e-16
0,559.234917418023,0.0,0.0,82537.0,9,0,9,1.2699360966724981e-14
0,529.1333263959913,0.0,0.0,82534.0,10,0,10,1.2523779499335528e-14
0,505.0463410991218,0.0,0.0,82531.0,11,0,11,1.5330613138954305e-13
0,480.8221729900948,0.0,0.0,82528.0,12,0,12,8.267197142547891e-14
0,459.85607774476966,0.0,0.0,82525.0,13,0,13,8.169669329918086e-13
0,438.6471216110044,0.0,0.0,82522.0,14,0,14,1.2746832944154479e-12
0,420.4208362815519,0.0,0.0,82519.0,15,0,15,4.5765075118076765e-12
0,403.39073693570975,0.0,0.0,82516.0,16,0,16,7.539898190234094e-12
0,386.6394151219203,0.0,0.0,82513.0,17,0,17,3.0800676160637385e-11
0,371.3265321198188,0.0,0.0,82510.0,18,0,18,5.207393450632286e-11
0,356.3750765126222,0.0,0.0,82507.0,19,0,19,1.8371195978717263e-10
0,341.18737752074367,0.0,0.0,82504.0,20,0,20,3.069302318142033e-10
0,328.45796811504505,0.0,0.0,82501.0,21,0,21,9.228235013309965e-10
0,317.08274373323417,0.0,0.0,82498.0,22,0,22,1.5018162085421529e-09
0,307.43534862775095,0.0,0.0,82495.0,23,0,23,3.949944741128796e-09
0,297.20787829111134,0.0,0.0,82492.0,24,0,24,6.283049854085791e-09
0,287.677311839243,0.0,0.0,82489.0,25,0,25,1.4930250286971532e-08
0,277.7164003043527,0.0,0.0,82486.0,26,0,26,2.3566136419139104e-08
0,269.05058706690437,0.0,0.0,82483.0,27,0,27,5.05590904858557e-08
0,260.26437681472527,0.0,0.0,82480.0,28,0,28,7.824519151935404e-08
0,252.67373008343503,0.0,0.0,82477.0,29,0,29,1.558977261026183e-07
