,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,0.002456972110143614,0.9604668043302148,3.8418672173208592,246454.0,1,1,1,0.16381205087039075
0,1.2840089110908854,0.27692675738879363,1.1077070295551745,246451.0,2,1,2,0.35771744732364374
0,0.47565776183748304,0.6992246903467878,2.796898761387151,246448.0,3,1,3,0.4861150974691395
0,0.4283213311992329,0.788302755187915,3.15321102075166,246445.0,4,1,4,0.46137714350510883
0,0.32007299517616744,0.9012046548715068,3.604818619486027,246442.0,5,1,5,0.5001612662114163
0,0.3383259676893769,0.9169222854089377,3.667689141635751,246439.0,6,1,6,0.5478635982640837
0,0.3215653599234441,0.9446547204353609,3.7786188817414437,246436.0,7,1,7,0.5770830356774966
0,0.3669947260200093,0.9383108593352604,3.7532434373410415,246433.0,8,1,8,0.5960398030675383
0,0.3659019845324795,0.9515307193143854,3.8061228772575415,246430.0,9,1,9,0.6302443551995336
0,0.5120727903654633,0.8829665677550649,3.5318662710202595,246427.0,10,1,10,0.633351423534718
0,0.5633586973281414,0.8599029414249356,3.4396117656997425,246424.0,11,1,11,0.6523769658215262
0,0.5133374833947171,0.9077973135308824,3.6311892541235298,246421.0,12,1,12,0.6749147479160424
0,0.47275455725123805,0.9406824443424671,3.7627297773698682,246418.0,13,1,13,0.6929707293150076
0,0.4533052263296706,0.9569925820994618,3.8279703283978472,246415.0,14,1,14,0.7014068301902635
0,0.4497288925461278,0.9643180425327279,3.8572721701309116,246412.0,15,1,15,0.7129426985851055
0,0.4783208039082614,0.9585257597775251,3.8341030391101003,246409.0,16,1,16,0.7269107109097157
0,0.44744669316151936,0.9742494795151965,3.896997918060786,246406.0,17,1,17,0.736943306000229
0,0.4265067298314561,0.9830637067163871,3.9322548268655484,246403.0,18,1,18,0.7395351268836835
0,0.4068770804216523,0.9891804630182126,3.9567218520728504,246400.0,19,1,19,0.7295861406096462
0,0.39030835725293367,0.99307346021124,3.97229384084496,246397.0,20,1,20,0.7061375323110477
0,0.3842569102308027,0.9948423469109856,3.9793693876439424,246394.0,21,1,21,0.6992326417296595
0,0.37727056838572165,0.9962716261963507,3.9850865047854027,246391.0,22,1,22,0.6890058127732159
0,0.3771590919013961,0.9969408621221292,3.9877634484885167,246388.0,23,1,23,0.6824926616242174
0,0.36931976076184136,0.9978719677926448,3.991487871170579,246385.0,24,1,24,0.6485522540303217
0,0.35006253499093093,0.9988935595419146,3.9955742381676584,246382.0,25,1,25,0.6444527532731785
0,0.3419461863651109,0.9992782428032804,3.9971129712131215,246379.0,26,1,26,0.6501109574592787
0,0.41083313947853073,0.9970335965079425,3.98813438603177,246376.0,27,1,27,0.6585549058307224
0,0.44326329252197216,0.9951650097867962,3.980660039147185,246373.0,28,1,28,0.6604834387560171
0,0.44549888671499577,0.9956247787407094,3.9824991149628377,246370.0,29,1,29,0.6684508504054611
0,0.4317155387817634,0.9971426206906453,3.988570482762581,246367.0,30,1,30,0.6757156552556046
0,0.42631195487006784,0.9978173860321568,3.991269544128627,246364.0,31,1,31,0.6812619381486313
0,0.4104150247096922,0.9987147047280575,3.99485881891223,246361.0,32,1,32,0.6843180481100379
0,0.4064875816250211,0.9990125137024755,3.996050054809902,246358.0,33,1,33,0.6881015190195917
0,0.39101665779543615,0.9994497984401274,3.9977991937605095,246355.0,34,1,34,0.6904262053369838
0,0.38924225964522025,0.9995624598282817,3.998249839313127,246352.0,35,1,35,0.6334288948196132
0,0.37941239543424377,0.9997282254236917,3.9989129016947667,246349.0,36,1,36,0.6375108111440961
0,0.373779027243029,0.9998117158636681,3.9992468634546725,246346.0,37,1,37,0.6390562552692959
0,0.3952166233483134,0.9996923771417833,3.998769508567133,246343.0,38,1,38,0.670422186319533
0,0.39401577507140567,0.9997509455176753,3.999003782070701,246340.0,39,1,39,0.6619371870906423
0,0.4231743661311077,0.9994922189328165,3.997968875731266,246337.0,40,1,40,0.6643453974134448
0,59.024454811508306,1.5653095714742002e-14,6.261238285896801e-14,174255.0,1,2,1,0.16381205087039075
0,0.24496841801658492,0.7827295275279911,3.1309181101119643,174252.0,2,2,2,0.35771744732364374
