,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,6.539584518391868e-05,0.993547766144136,3.974191064576544,444870.0,1,4,1,0.6091467025599434
0,0.03258842271789907,0.9679368607382085,3.871747442952834,444867.0,2,4,2,0.5514228764454424
0,0.43805544918292494,0.7257720274271002,2.903088109708401,444864.0,3,4,3,0.4913500210855644
0,0.3925865814711467,0.814111528745155,3.25644611498062,444861.0,4,4,4,0.5876455619829694
0,0.31364170991675666,0.905066584051346,3.620266336205384,444858.0,5,4,5,0.6419476604878349
0,0.3068592420881856,0.9337119716525988,3.734847886610395,444855.0,6,4,6,0.7178129354781824
0,0.48482108366131166,0.8463475258350528,3.385390103340211,444852.0,7,4,7,0.6351287565812659
0,0.524023789628869,0.839379486623241,3.357517946492964,444849.0,8,4,8,0.6151222337382959
0,0.6197709460217341,0.7813022328654103,3.1252089314616414,444846.0,9,4,9,0.5426852639704954
0,0.5564148662414149,0.8504558266356417,3.4018233065425667,444843.0,10,4,10,0.5733871169143981
0,0.5534603870316096,0.8674227834587431,3.4696911338349725,444840.0,11,4,11,0.48428858929377944
0,0.5884085601997382,0.8535611561433958,3.414244624573583,444837.0,12,4,12,0.48457852695642906
0,0.5601469675197722,0.8870432303650982,3.548172921460393,444834.0,13,4,13,0.5094683900595101
0,0.5667775647309754,0.8926887812609858,3.5707551250439433,444831.0,14,4,14,0.5201807953349146
0,0.5334604643984621,0.9237044246384349,3.6948176985537398,444828.0,15,4,15,0.5248186124691184
0,0.9458657888380404,0.5148590516947512,2.059436206779005,444825.0,16,4,16,0.45202239041820585
0,0.9201904589911285,0.5492526794846855,2.197010717938742,444822.0,17,4,17,0.45624731654091294
0,0.8730097295550591,0.612487079076878,2.449948316307512,444819.0,18,4,18,0.4898114221992061
0,0.8709915214813727,0.6204029229935681,2.4816116919742726,444816.0,19,4,19,0.4870175649215805
0,0.8286917708604777,0.6804458072896954,2.7217832291587816,444813.0,20,4,20,0.5054287502717907
0,0.8565197713548972,0.649830825900507,2.599323303602028,444810.0,21,4,21,0.4957834945813726
0,0.8444189430374027,0.6712677141770227,2.6850708567080908,444807.0,22,4,22,0.44863429817845624
0,0.8512798741479519,0.667127921067838,2.668511684271352,444804.0,23,4,23,0.4322788643288141
0,0.9576861055085324,0.520716756006109,2.082867024024436,444801.0,24,4,24,0.43740788341445846
0,0.9662477073200543,0.5103655619091534,2.0414622476366135,444798.0,25,4,25,0.4291095132161197
0,0.9322332113156793,0.562354871797812,2.249419487191248,444795.0,26,4,26,0.43672197427838116
0,0.9201057742647903,0.5832680240698656,2.333072096279462,444792.0,27,4,27,0.4353899721623251
0,0.8921540590360628,0.6289051028706085,2.515620411482434,444789.0,28,4,28,0.46556443425738786
0,0.9568714598333844,0.5313482479344425,2.12539299173777,444786.0,29,4,29,0.4641383342247628
0,0.9253555757346488,0.5831174820616105,2.332469928246442,444783.0,30,4,30,0.45770993013230177
0,0.8961112230351829,0.6325251267675863,2.5301005070703453,444780.0,31,4,31,0.4882365267106267
0,0.915730369636874,0.6037196562555924,2.4148786250223697,444777.0,32,4,32,0.5006779231938865
0,0.9257237023238901,0.5897210630885199,2.3588842523540796,444774.0,33,4,33,0.47774425658744635
0,0.9422273582136967,0.5641899625761201,2.2567598503044803,444771.0,34,4,34,0.4682632248160124
0,0.9362486800384104,0.5762699312803556,2.3050797251214226,444768.0,35,4,35,0.48307817418894244
0,0.9197094657893259,0.6068058225883619,2.4272232903534476,444765.0,36,4,36,0.48197128259541383
0,0.8955510213304728,0.6508525245236199,2.6034100980944794,444762.0,37,4,37,0.5032719529574841
0,0.8758594371546179,0.6871848385004407,2.7487393540017626,444759.0,38,4,38,0.5259346418609334
0,0.8599509960941749,0.7168189582110435,2.867275832844174,444756.0,39,4,39,0.5439062197835688
0,0.8500720610939577,0.7361982300072252,2.9447929200289007,444753.0,40,4,40,0.5396838202597711
0,0.05105365956625227,0.8212401962817097,3.284960785126839,139983.0,1,8,1,0.6091467025599434
0,0.20244813401430015,0.8167290811083701,3.2669163244334802,139980.0,2,8,2,0.5514228764454424
0,0.7733313374001238,0.5087034938270316,2.0348139753081265,139977.0,3,8,3,0.4913500210855644
0,0.6109638417442671,0.6547174744494292,2.6188698977977167,139974.0,4,8,4,0.5876455619829694
0,0.5237962311881489,0.7584787011706751,3.0339148046827003,139971.0,5,8,5,0.6419476604878349
0,0.4432096351656286,0.8502342404275146,3.4009369617100584,139968.0,6,8,6,0.7178129354781824
0,0.47899404426091424,0.8505437301988975,3.40217492079559,139965.0,7,8,7,0.6351287565812659
0,0.4788453462341336,0.8720580569956368,3.488232227982547,139962.0,8,8,8,0.6151222337382959
0,0.7289835548487528,0.6827341699332815,2.730936679733126,139959.0,9,8,9,0.5426852639704954
