,circular_corr_value,circ_corr_pvalue,trial_number
0,0.05956886189541662,1.943510298389218e-29,0
0,-0.121394239913955,8.045588414615876e-211,1
0,-0.08814652602834627,3.7873853105599705e-286,2
0,0.13078995044769112,2.5620038748091613e-190,3
0,0.06885970364360146,0.0,4
0,-0.1751635474608068,0.0,5
0,-0.22001935427892755,0.0,6
0,-0.019088662801971676,9.53672531804651e-15,7
0,-0.18423566155039728,0.0,8
0,0.0309355177834765,9.912288883377877e-55,9
0,-0.22272971229379177,0.0,10
0,-0.0852304631504344,3.476579323494661e-224,11
0,0.055937097738530964,2.606775158459522e-145,12
0,-0.17974898702102177,9.863937492749927e-140,13
0,-0.06633279735999979,0.0,14
0,0.02674686466267679,3.774485925026367e-41,15
0,-0.1708554603254572,0.0,16
0,-0.16651940564007714,0.0,17
0,-0.25114783509411664,0.0,18
0,0.0339729705010293,5.267469849624261e-113,19
