,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,1.2557180718887593,0.26246376502710156,1.0498550601084062,444870.0,1,4,1,0.5277530845197982
0,0.7867077684024261,0.4553420530032568,1.8213682120130272,444867.0,2,4,2,0.6258186350005432
0,0.6637186022129968,0.5742448393700779,2.2969793574803115,444864.0,3,4,3,0.6844632204848109
0,0.690828828820254,0.5981819960826341,2.3927279843305365,444861.0,4,4,4,0.6444305727835362
0,0.5632522563641734,0.7282872556887896,2.9131490227551584,444858.0,5,4,5,0.6478485689287498
0,0.4694089277850426,0.8315056719927003,3.3260226879708013,444855.0,6,4,6,0.6420849192657908
0,0.4576765146060733,0.8655364747213041,3.4621458988852165,444852.0,7,4,7,0.5645624923322365
0,0.40299815307022097,0.9195242379621562,3.678096951848625,444849.0,8,4,8,0.5713816049421387
0,0.39370989634642706,0.9388209047347705,3.755283618939082,444846.0,9,4,9,0.594597570480846
0,0.37349589604489397,0.958511684751059,3.834046739004236,444843.0,10,4,10,0.6067246797423532
0,0.3612551475285674,0.9706763309288269,3.8827053237153075,444840.0,11,4,11,0.6434380326942104
0,0.3691060849734323,0.9743865745369985,3.897546298147994,444837.0,12,4,12,0.6433020345914409
0,0.3432600117136414,0.9852050987023958,3.9408203948095832,444834.0,13,4,13,0.66724905580021
0,0.3278029907770544,0.9907480792749369,3.9629923170997476,444831.0,14,4,14,0.675373492282555
0,0.4227265532704836,0.9734340871067317,3.893736348426927,444828.0,15,4,15,0.7025552158477819
0,0.4172673119555281,0.9790069220894838,3.9160276883579352,444825.0,16,4,16,0.655597418920495
0,0.40813004589072377,0.9843342221597057,3.9373368886388227,444822.0,17,4,17,0.6710687377212469
0,0.46679197917495424,0.9720258811343203,3.8881035245372813,444819.0,18,4,18,0.703468209167166
0,0.4421303490900207,0.9821667509817642,3.928667003927057,444816.0,19,4,19,0.732282639344361
0,0.42482439125233495,0.9880388567274151,3.9521554269096604,444813.0,20,4,20,0.7136893950467201
0,0.38719084828282546,0.5337807328710926,2.1351229314843705,139983.0,1,8,1,0.5277530845197982
0,0.7231273797346986,0.48523418740329216,1.9409367496131686,139980.0,2,8,2,0.6258186350005432
0,0.5264401996546214,0.6640885155285466,2.6563540621141866,139977.0,3,8,3,0.6844632204848109
0,1.446500431676355,0.21571622699891016,0.8628649079956406,139974.0,4,8,4,0.6444305727835362
0,1.408150067077198,0.21763472418668098,0.8705388967467239,139971.0,5,8,5,0.6478485689287498
0,1.1747692946668693,0.31638167151812874,1.265526686072515,139968.0,6,8,6,0.6420849192657908
0,1.187960435644178,0.30558684883163806,1.2223473953265522,139965.0,7,8,7,0.5645624923322365
0,1.0478277538898602,0.397020885964451,1.588083543857804,139962.0,8,8,8,0.5713816049421387
0,1.0043897330545182,0.43364136548226406,1.7345654619290563,139959.0,9,8,9,0.594597570480846
0,0.9330638291572316,0.5010426295726589,2.0041705182906355,139956.0,10,8,10,0.6067246797423532
0,0.8727542512117257,0.5666598241340483,2.266639296536193,139953.0,11,8,11,0.6434380326942104
0,0.8220900353149997,0.6277954219779602,2.511181687911841,139950.0,12,8,12,0.6433020345914409
0,0.7552101511644973,0.7087634671113474,2.8350538684453896,139947.0,13,8,13,0.66724905580021
0,0.7042548740680578,0.7723714212788819,3.0894856851155277,139944.0,14,8,14,0.675373492282555
0,0.7375062462935716,0.7481392543307082,2.9925570173228326,139941.0,15,8,15,0.7025552158477819
0,0.7906884280816848,0.6980781699033107,2.792312679613243,139938.0,16,8,16,0.655597418920495
0,0.8971560151040547,0.5773618871127418,2.3094475484509673,139935.0,17,8,17,0.6710687377212469
0,0.9157886320245429,0.5587963552215323,2.235185420886129,139932.0,18,8,18,0.703468209167166
0,0.867001514400064,0.6255191733645418,2.502076693458167,139929.0,19,8,19,0.732282639344361
0,0.8876477638905427,0.6036773517509113,2.4147094070036452,139926.0,20,8,20,0.7136893950467201
0,0.3169678508726564,0.5734360116654715,2.293744046661886,291626.0,1,10,1,0.5277530845197982
0,0.21980878185770275,0.8026724017702823,3.2106896070811293,291623.0,2,10,2,0.6258186350005432
0,0.39796086290952454,0.7544719857554644,3.0178879430218575,291620.0,3,10,3,0.6844632204848109
0,0.42902565491090444,0.7877903742485421,3.1511614969941686,291617.0,4,10,4,0.6444305727835362
0,0.36489099709599804,0.8728620064285096,3.4914480257140386,291614.0,5,10,5,0.6478485689287498
0,0.30408050397811887,0.9351117710791312,3.740447084316525,291611.0,6,10,6,0.6420849192657908
0,0.7134063659035947,0.6607144419066941,2.6428577676267766,291608.0,7,10,7,0.5645624923322365
0,0.7668319672112057,0.6321515457089204,2.5286061828356816,291605.0,8,10,8,0.5713816049421387
0,0.6886430855212833,0.7199703960658881,2.8798815842635523,291602.0,9,10,9,0.594597570480846
0,0.7523733587418002,0.6752465955553547,2.700986382221419,291599.0,10,10,10,0.6067246797423532
0,0.7048869596038355,0.7351759655915863,2.940703862366345,291596.0,11,10,11,0.6434380326942104
0,0.8663373677224592,0.5812589737707131,2.3250358950828525,291593.0,12,10,12,0.6433020345914409
0,0.8536101657968888,0.6026976482791535,2.410790593116614,291590.0,13,10,13,0.66724905580021
0,0.9427288266855234,0.5109818149517162,2.043927259806865,291587.0,14,10,14,0.675373492282555
0,0.8868276892018517,0.5789524934818544,2.3158099739274176,291584.0,15,10,15,0.7025552158477819
0,0.8631042621354635,0.6128904060438509,2.4515616241754037,291581.0,16,10,16,0.655597418920495
0,0.8141122629862293,0.6783981167216822,2.7135924668867286,291578.0,17,10,17,0.6710687377212469
0,0.7713295160439707,0.7366224115189153,2.946489646075661,291575.0,18,10,18,0.703468209167166
0,0.7313478554103965,0.7897380920469707,3.1589523681878826,291572.0,19,10,19,0.732282639344361
0,0.6954495140940002,0.8350753020761981,3.3403012083047923,291569.0,20,10,20,0.7136893950467201
0,0.023809242411509047,0.8773713726574999,3.5094854906299995,318835.0,1,14,1,0.5277530845197982
0,0.04564516207042278,0.9553809136629428,3.821523654651771,318832.0,2,14,2,0.6258186350005432
0,0.3589686146781218,0.782651856430924,3.130607425723696,318829.0,3,14,3,0.6844632204848109
0,0.5741454908709188,0.6813916264544204,2.7255665058176817,318826.0,4,14,4,0.6444305727835362
0,0.6022956145093864,0.698216157654711,2.792864630618844,318823.0,5,14,5,0.6478485689287498
0,0.7432985949618242,0.6147091879191073,2.4588367516764293,318820.0,6,14,6,0.6420849192657908
0,0.643438507354047,0.7202267537791176,2.8809070151164704,318817.0,7,14,7,0.5645624923322365
0,0.5738760168582703,0.8002594545969328,3.2010378183877313,318814.0,8,14,8,0.5713816049421387
0,0.5521416526568906,0.8369770042140395,3.347908016856158,318811.0,9,14,9,0.594597570480846
0,0.5918817718883662,0.8220354635626207,3.2881418542504828,318808.0,10,14,10,0.6067246797423532
0,0.5470979216094766,0.8721534850127312,3.4886139400509246,318805.0,11,14,11,0.6434380326942104
0,0.5510457164284,0.8821187618380502,3.5284750473522006,318802.0,12,14,12,0.6433020345914409
0,0.5098274500330734,0.9203007034365298,3.6812028137461192,318799.0,13,14,13,0.66724905580021
0,0.4970719440805043,0.9362784859501697,3.745113943800679,318796.0,14,14,14,0.675373492282555
0,0.48894213941763603,0.9477039345394337,3.7908157381577348,318793.0,15,14,15,0.7025552158477819
0,0.6715433876019233,0.8249597647996296,3.2998390591985185,318790.0,16,14,16,0.655597418920495
0,0.6436992963028373,0.8595138991748567,3.4380555966994266,318787.0,17,14,17,0.6710687377212469
0,0.6063251665929846,0.8979729132533387,3.591891653013355,318784.0,18,14,18,0.703468209167166
0,0.6677246134067938,0.8542089253260219,3.4168357013040875,318781.0,19,14,19,0.732282639344361
0,0.7400651442780772,0.7876577718099859,3.1506310872399435,318778.0,20,14,20,0.7136893950467201
0,0.23074984457170009,0.630968954078539,2.523875816314156,185154.0,1,15,1,0.5277530845197982
0,0.21184553704993772,0.8090898584272873,3.2363594337091492,185151.0,2,15,2,0.6258186350005432
0,0.15636408577063007,0.925627158590208,3.702508634360832,185148.0,3,15,3,0.6844632204848109
0,0.23514907299413232,0.9186653435764701,3.6746613743058805,185145.0,4,15,4,0.6444305727835362
0,0.40252322387553763,0.8473958707651216,3.3895834830604863,185142.0,5,15,5,0.6478485689287498
0,0.6429674734191073,0.6959119877797382,2.7836479511189527,185139.0,6,15,6,0.6420849192657908
0,0.5675206564600068,0.7829215164879267,3.131686065951707,185136.0,7,15,7,0.5645624923322365
0,0.7997266606454738,0.6027638966715333,2.411055586686133,185133.0,8,15,8,0.5713816049421387
0,0.7622417758928846,0.651674160845831,2.606696643383324,185130.0,9,15,9,0.594597570480846
0,0.6863234277173536,0.738288354639517,2.953153418558068,185127.0,10,15,10,0.6067246797423532
0,0.6981306970405635,0.7416965512593066,2.9667862050372262,185124.0,11,15,11,0.6434380326942104
0,0.6425106933505531,0.8073493038419569,3.2293972153678276,185121.0,12,15,12,0.6433020345914409
0,0.7414319230522244,0.7231823924866123,2.8927295699464493,185118.0,13,15,13,0.66724905580021
0,0.7112216343023363,0.7653089574318049,3.0612358297272197,185115.0,14,15,14,0.675373492282555
0,0.7085669840054405,0.778452453501113,3.113809814004452,185112.0,15,15,15,0.7025552158477819
0,0.9358450106080765,0.5265816953725366,2.1063267814901465,185109.0,16,15,16,0.655597418920495
0,0.9430946317389595,0.5215275951655707,2.0861103806622827,185106.0,17,15,17,0.6710687377212469
0,0.9115017178008833,0.5641647671103609,2.2566590684414436,185103.0,18,15,18,0.703468209167166
0,0.8964318435917498,0.5876860155194386,2.350744062077754,185100.0,19,15,19,0.732282639344361
0,0.9157233668167298,0.5667022439049872,2.266808975619949,185097.0,20,15,20,0.7136893950467201
0,0.12777589596884437,0.7207497954269759,2.8829991817079037,153554.0,1,18,1,0.5277530845197982
0,0.40556527710384166,0.6666006047200626,2.66640241888025,153551.0,2,18,2,0.6258186350005432
0,0.31900958752781294,0.8116480709211223,3.2465922836844894,153548.0,3,18,3,0.6844632204848109
0,0.2927794645422149,0.8828300807303073,3.5313203229212293,153545.0,4,18,4,0.6444305727835362
0,0.7043301414665994,0.6201150664003117,2.4804602656012467,153542.0,5,18,5,0.6478485689287498
0,0.711061199601944,0.640679548402445,2.56271819360978,153539.0,6,18,6,0.6420849192657908
0,1.5230870894687831,0.15408505605480866,0.6163402242192346,153536.0,7,18,7,0.5645624923322365
0,1.7276544118618422,0.08655515211873713,0.3462206084749485,153533.0,8,18,8,0.5713816049421387
0,1.7464323946891793,0.07302170526868534,0.2920868210747414,153530.0,9,18,9,0.594597570480846
0,1.5714320468498773,0.10811969472962397,0.4324787789184959,153527.0,10,18,10,0.6067246797423532
0,1.4327794469419575,0.15026837843112864,0.6010735137245146,153524.0,11,18,11,0.6434380326942104
0,1.3569180459126307,0.1786289979085317,0.7145159916341268,153521.0,12,18,12,0.6433020345914409
0,1.2528467701702197,0.2339927864138216,0.9359711456552864,153518.0,13,18,13,0.66724905580021
0,1.166048222893689,0.29396491983849243,1.1758596793539697,153515.0,14,18,14,0.675373492282555
0,1.0890659902158464,0.3600912185495815,1.440364874198326,153512.0,15,18,15,0.7025552158477819
0,1.0490068605808618,0.3997085344541442,1.598834137816577,153509.0,16,18,16,0.655597418920495
0,0.9942931803256904,0.46096468534053114,1.8438587413621246,153506.0,17,18,17,0.6710687377212469
0,0.9474983702262533,0.5193327223693129,2.0773308894772518,153503.0,18,18,18,0.703468209167166
0,0.9237459222714828,0.5525821915632582,2.2103287662530327,153500.0,19,18,19,0.732282639344361
0,1.011549530613972,0.44357515009302273,1.774300600372091,153497.0,20,18,20,0.7136893950467201
