,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,0.792863651064795,0.37323610409025154,1.4929444163610062,444870.0,1,4,1,0.6069491798981771
0,1.170986785911153,0.310061782427232,1.240247129708928,444867.0,2,4,2,0.5776443669234289
0,0.7890533547893491,0.49977772398808407,1.9991108959523363,444864.0,3,4,3,0.7055697433741495
0,0.7835835263634063,0.5356025756080944,2.1424103024323777,444861.0,4,4,4,0.7047755106113944
0,1.2309330380285177,0.29146100464449964,1.1658440185779986,444858.0,5,4,5,0.6605141988814849
0,1.1389661057503926,0.33649367053087326,1.345974682123493,444855.0,6,4,6,0.6616097831607581
0,1.0216266759434236,0.41329147722340953,1.6531659088936381,444852.0,7,4,7,0.6650517776449123
0,1.003336938559639,0.4308685528178332,1.7234742112713328,444849.0,8,4,8,0.6800114762313226
0,0.9261170033762567,0.5007664594409708,2.003065837763883,444846.0,9,4,9,0.7291476680018965
0,0.8371229918232851,0.5926250894697032,2.3705003578788126,444843.0,10,4,10,0.742195050385236
0,0.9270451754516785,0.5127158643741145,2.050863457496458,444840.0,11,4,11,0.7651917504214392
0,1.2017266051492501,0.2746566144228475,1.09862645769139,444837.0,12,4,12,0.7105759098549728
0,1.1378772511237116,0.3204952767396403,1.2819811069585612,444834.0,13,4,13,0.7141433453385708
0,1.0675059227093726,0.3819224545324654,1.5276898181298617,444831.0,14,4,14,0.7003187246837435
0,1.1264176084104238,0.32510797276719516,1.3004318910687807,444828.0,15,4,15,0.6837839493418558
0,1.05719838136774,0.3911101991922004,1.5644407967688017,444825.0,16,4,16,0.6842407485484122
0,1.0652872653771845,0.3819445044008809,1.5277780176035236,444822.0,17,4,17,0.7193147050129419
0,1.0448755160806336,0.40375405140421744,1.6150162056168698,444819.0,18,4,18,0.6924963173017425
0,1.0539132418409836,0.39311826716088477,1.572473068643539,444816.0,19,4,19,0.699299979943569
0,1.024310921094237,0.42791067375997643,1.7116426950399057,444813.0,20,4,20,0.7202660680687943
0,0.1366391401653445,0.711645848381074,2.846583393524296,139983.0,1,8,1,0.6069491798981771
0,0.08250767060648227,0.9208044194927648,3.6832176779710593,139980.0,2,8,2,0.5776443669234289
0,0.08856929448776382,0.9663432429720132,3.865372971888053,139977.0,3,8,3,0.7055697433741495
0,0.28510673824314114,0.8878055547063051,3.5512222188252203,139974.0,4,8,4,0.7047755106113944
0,0.23724765049878732,0.9461900562526219,3.7847602250104875,139971.0,5,8,5,0.6605141988814849
0,0.6363457654395402,0.701279645240239,2.805118580960956,139968.0,6,8,6,0.6616097831607581
0,0.547191502535573,0.7990966348521539,3.1963865394086155,139965.0,7,8,7,0.6650517776449123
0,0.6232903976108036,0.7590350003517523,3.0361400014070092,139962.0,8,8,8,0.6800114762313226
0,0.7129691340931121,0.6975930096441857,2.7903720385767428,139959.0,9,8,9,0.7291476680018965
0,0.7295472131617488,0.6972852994275199,2.7891411977100797,139956.0,10,8,10,0.742195050385236
0,0.6647768279427129,0.7732339193105314,3.0929356772421257,139953.0,11,8,11,0.7651917504214392
0,0.6241452446837691,0.8236226727215048,3.294490690886019,139950.0,12,8,12,0.7105759098549728
0,0.6669213764945389,0.7973815525290879,3.1895262101163517,139947.0,13,8,13,0.7141433453385708
0,0.7533550548211737,0.7211966227213307,2.8847864908853227,139944.0,14,8,14,0.7003187246837435
0,0.8431347799282572,0.6295397995721858,2.518159198288743,139941.0,15,8,15,0.6837839493418558
0,0.8194478441152142,0.6646099182756038,2.658439673102415,139938.0,16,8,16,0.6842407485484122
0,0.7725267167646347,0.7272351188871257,2.9089404755485027,139935.0,17,8,17,0.7193147050129419
0,0.8514575447161021,0.6394556524318834,2.5578226097275336,139932.0,18,8,18,0.6924963173017425
0,0.8078098715010366,0.7002065537570101,2.8008262150280405,139929.0,19,8,19,0.699299979943569
0,0.8085341733691545,0.7059738264408614,2.8238953057634455,139926.0,20,8,20,0.7202660680687943
0,0.03663140903224273,0.8482175739864004,3.3928702959456016,291626.0,1,10,1,0.6069491798981771
0,0.5567753641446083,0.5730545872216581,2.2922183488866326,291623.0,2,10,2,0.5776443669234289
0,0.5034794329791997,0.679863585010263,2.719454340041052,291620.0,3,10,3,0.7055697433741495
0,0.47123973187350854,0.7569074266550582,3.0276297066202327,291617.0,4,10,4,0.7047755106113944
0,0.46884138915598395,0.7997523831418523,3.199009532567409,291614.0,5,10,5,0.6605141988814849
0,0.42623377249608163,0.8619881721025425,3.44795268841017,291611.0,6,10,6,0.6616097831607581
0,0.4645650577999079,0.8607564305848776,3.4430257223395104,291608.0,7,10,7,0.6650517776449123
0,0.4196387844427276,0.9099909138394477,3.639963655357791,291605.0,8,10,8,0.6800114762313226
0,0.38688763621631084,0.9420928782094466,3.7683715128377866,291602.0,9,10,9,0.7291476680018965
0,0.35120584490336987,0.9666864306998965,3.866745722799586,291599.0,10,10,10,0.742195050385236
0,0.34635382017366473,0.9751507456676294,3.9006029826705175,291596.0,11,10,11,0.7651917504214392
0,0.3179977565604066,0.986532098259293,3.946128393037172,291593.0,12,10,12,0.7105759098549728
0,0.34265178493812176,0.9853263051834567,3.9413052207338266,291590.0,13,10,13,0.7141433453385708
0,0.417971397782594,0.970092822764349,3.880371291057396,291587.0,14,10,14,0.7003187246837435
0,0.4310408012094992,0.9708198619490759,3.8832794477963035,291584.0,15,10,15,0.6837839493418558
0,0.4411925181728705,0.9721037722205111,3.8884150888820446,291581.0,16,10,16,0.6842407485484122
0,0.4190347699085531,0.9818898956080861,3.9275595824323446,291578.0,17,10,17,0.7193147050129419
0,0.4269446064422481,0.9829645771701021,3.9318583086804084,291575.0,18,10,18,0.6924963173017425
0,0.4108479265418144,0.9885165744819884,3.9540662979279535,291572.0,19,10,19,0.699299979943569
0,0.5743424879640991,0.9326035207311267,3.730414082924507,291569.0,20,10,20,0.7202660680687943
0,0.044108559089600305,0.8336519027642629,3.3346076110570517,318835.0,1,14,1,0.6069491798981771
0,0.4335429158125133,0.6482088557279693,2.592835422911877,318832.0,2,14,2,0.5776443669234289
0,0.2911214771164495,0.8318503147960042,3.327401259184017,318829.0,3,14,3,0.7055697433741495
0,0.2289758182783653,0.9222680055575998,3.689072022230399,318826.0,4,14,4,0.7047755106113944
0,0.41040220444174363,0.841902107578252,3.367608430313008,318823.0,5,14,5,0.6605141988814849
0,0.37837910105963596,0.8932391699729887,3.5729566798919548,318820.0,6,14,6,0.6616097831607581
0,0.4270808490096008,0.8859649170391165,3.543859668156466,318817.0,7,14,7,0.6650517776449123
0,0.7037675869791373,0.6885824046310427,2.754329618524171,318814.0,8,14,8,0.6800114762313226
0,0.6337972264169156,0.7691204814925328,3.076481925970131,318811.0,9,14,9,0.7291476680018965
0,0.6063925460160581,0.8098626355721865,3.239450542288746,318808.0,10,14,10,0.742195050385236
0,0.5988284112099144,0.8314652718665692,3.3258610874662766,318805.0,11,14,11,0.7651917504214392
0,0.6947436627622589,0.7582761021066036,3.0331044084264143,318802.0,12,14,12,0.7105759098549728
0,0.6439632294407753,0.8185801239599303,3.274320495839721,318799.0,13,14,13,0.7141433453385708
