,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,0.10295349296893878,0.7483139807029011,2.9932559228116045,246454.0,1,1,1,0.5837633289599066
0,1.4338825730701024,0.238383577933222,0.953534311732888,246451.0,2,1,2,0.5401669529142753
0,1.018413511647084,0.38318827068071454,1.5327530827228582,246448.0,3,1,3,0.5724469300304806
0,1.7476277667099438,0.1363942755663604,0.5455771022654416,246445.0,4,1,4,0.5766386653476937
0,1.46108958832335,0.19890104063763403,0.7956041625505361,246442.0,5,1,5,0.6094334343909101
0,2.0057201330534133,0.06121184117543646,0.24484736470174584,246439.0,6,1,6,0.6089915792757438
0,1.9755684583209314,0.05431273742297237,0.2172509496918895,246436.0,7,1,7,0.5794774332051219
0,2.43596388044219,0.012460506527127818,0.049842026108511274,246433.0,8,1,8,0.5560910106268074
0,2.189861468766351,0.019800814314997153,0.07920325725998861,246430.0,9,1,9,0.5322302468259612
0,1.9946177983179316,0.02977053069875959,0.11908212279503835,246427.0,10,1,10,0.511936345608972
0,2.1840524498746587,0.012633049398917233,0.05053219759566893,246424.0,11,1,11,0.5338994312394808
0,2.009975498809859,0.019595888884486583,0.07838355553794633,246421.0,12,1,12,0.5362925879585169
0,1.857452697943419,0.029811207844569948,0.11924483137827979,246418.0,13,1,13,0.5551811753482603
0,1.7281668159870092,0.0434129529589359,0.1736518118357436,246415.0,14,1,14,0.5307513055570107
0,1.7900940575813669,0.029976969360090804,0.11990787744036321,246412.0,15,1,15,0.5254786683036756
0,1.7411547946680526,0.032879373078033486,0.13151749231213394,246409.0,16,1,16,0.5282456267811626
0,1.9140945682517225,0.012888858475890257,0.05155543390356103,246406.0,17,1,17,0.5440474039124235
0,1.872370618036717,0.013707926548671019,0.054831706194684075,246403.0,18,1,18,0.5562499834524948
0,1.8804940237619379,0.01139698858716696,0.04558795434866784,246400.0,19,1,19,0.5475870001835476
0,1.9729677618587205,0.005845653414528228,0.02338261365811291,246397.0,20,1,20,0.529303189133302
0,0.3253128899564411,0.5684328859184382,2.273731543673753,174255.0,1,2,1,0.5837633289599066
0,0.3599621280082037,0.6977032677277751,2.7908130709111005,174252.0,2,2,2,0.5401669529142753
0,0.6201566007739373,0.6018662374988508,2.4074649499954033,174249.0,3,2,3,0.5724469300304806
0,1.1712916316612598,0.32115651993322114,1.2846260797328846,174246.0,4,2,4,0.5766386653476937
0,0.988889858999456,0.42270067209091877,1.690802688363675,174243.0,5,2,5,0.6094334343909101
0,0.828651820352143,0.5474225693673278,2.189690277469311,174240.0,6,2,6,0.6089915792757438
0,0.7513860953889941,0.628303893963537,2.513215575854148,174237.0,7,2,7,0.5794774332051219
0,0.6576554922549136,0.7293226830439861,2.9172907321759443,174234.0,8,2,8,0.5560910106268074
0,1.2288735908013293,0.2716367322607017,1.0865469290428067,174231.0,9,2,9,0.5322302468259612
0,1.379803275063632,0.18241581655338654,0.7296632662135462,174228.0,10,2,10,0.511936345608972
0,1.2676643034006492,0.23610157729809372,0.9444063091923749,174225.0,11,2,11,0.5338994312394808
0,1.2232435633953667,0.2594779089407767,1.0379116357631069,174222.0,12,2,12,0.5362925879585169
0,1.1327988065306027,0.32475421099841556,1.2990168439936622,174219.0,13,2,13,0.5551811753482603
0,1.378014610705551,0.15409629430212504,0.6163851772085002,174216.0,14,2,14,0.5307513055570107
0,1.2920127675052655,0.19703457746234815,0.7881383098493926,174213.0,15,2,15,0.5254786683036756
0,1.2592413094512889,0.21365042876020834,0.8546017150408334,174210.0,16,2,16,0.5282456267811626
0,1.2745606904791222,0.1978621079419408,0.7914484317677632,174207.0,17,2,17,0.5440474039124235
0,1.2040797603182987,0.24682313776598458,0.9872925510639383,174204.0,18,2,18,0.5562499834524948
0,1.2081568438652937,0.2393479347301309,0.9573917389205236,174201.0,19,2,19,0.5475870001835476
0,1.3975462452984655,0.11058524291544597,0.4423409716617839,174198.0,20,2,20,0.529303189133302
0,0.012510565965177281,0.9109422064503635,3.643768825801454,60181.0,1,3,1,0.5837633289599066
0,0.3335013538573213,0.7164122528006478,2.865649011202591,60178.0,2,3,2,0.5401669529142753
0,0.873281434086087,0.45402734468137673,1.816109378725507,60175.0,3,3,3,0.5724469300304806
0,0.6555989415921696,0.6228633776309926,2.4914535105239706,60172.0,4,3,4,0.5766386653476937
0,0.5957701834344523,0.7032464871538393,2.8129859486153572,60169.0,5,3,5,0.6094334343909101
0,0.5106103199125667,0.8008122112691449,3.2032488450765797,60166.0,6,3,6,0.6089915792757438
0,2.6304742743590723,0.010246014524623787,0.040984058098495146,60163.0,7,3,7,0.5794774332051219
0,2.4055217545241705,0.013617376740766428,0.05446950696306571,60160.0,8,3,8,0.5560910106268074
0,2.129611241058863,0.02382944351807937,0.09531777407231748,60157.0,9,3,9,0.5322302468259612
0,1.9679788667483136,0.032450915688598786,0.12980366275439514,60154.0,10,3,10,0.511936345608972
0,1.7921658975196038,0.049449275203174214,0.19779710081269686,60151.0,11,3,11,0.5338994312394808
0,1.9708715762380118,0.022703675226242573,0.09081470090497029,60148.0,12,3,12,0.5362925879585169
0,1.9167017585126436,0.02368987084241244,0.09475948336964976,60145.0,13,3,13,0.5551811753482603
0,1.9237346323754814,0.019667205156269144,0.07866882062507657,60142.0,14,3,14,0.5307513055570107
0,1.8111295736774655,0.027430192145620223,0.1097207685824809,60139.0,15,3,15,0.5254786683036756
0,1.709400139992478,0.037779970297355685,0.15111988118942274,60136.0,16,3,16,0.5282456267811626
0,1.7103080713267398,0.0338694552882458,0.1354778211529832,60133.0,17,3,17,0.5440474039124235
0,1.6255407360794,0.045332883177760255,0.18133153271104102,60130.0,18,3,18,0.5562499834524948
0,1.5723561089342972,0.05345587483759985,0.2138234993503994,60127.0,19,3,19,0.5475870001835476
0,1.5402646029484188,0.05785905805156673,0.2314362322062669,60124.0,20,3,20,0.529303189133302
0,0.27596489325812606,0.5993586875848789,2.3974347503395155,265225.0,1,4,1,0.5837633289599066
0,0.16570296666838136,0.8472979602329509,3.3891918409318036,265222.0,2,4,2,0.5401669529142753
0,0.1799101972619402,0.910079876159934,3.640319504639736,265219.0,3,4,3,0.5724469300304806
0,0.15730077569498355,0.9597637399884956,3.8390549599539825,265216.0,4,4,4,0.5766386653476937
