,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,19.885055754509587,8.225522745971598e-06,3.290209098388639e-05,614833.0,1,8,1,0.0898824814063489
0,11.324606001122175,1.2074709494895606e-05,4.829883797958242e-05,614830.0,2,8,2,0.0569264069190005
0,5.368058037665332,0.001079658437656422,0.004318633750625688,614827.0,3,8,3,0.20450384459567875
0,4.23924321127538,0.001970693964686628,0.007882775858746511,614824.0,4,8,4,0.2281922235964178
0,3.2791040045379454,0.005801483861816632,0.023205935447266526,614821.0,5,8,5,0.3027939674065307
0,2.6986222303907788,0.012761831343940874,0.051047325375763494,614818.0,6,8,6,0.32880067714143174
0,2.273603245869266,0.025903613990576564,0.10361445596230626,614815.0,7,8,7,0.39988922429636814
0,1.960939932666949,0.04707934890025237,0.1883173956010095,614812.0,8,8,8,0.4602351527465156
0,1.7196800619922448,0.07863925898777814,0.31455703595111256,614809.0,9,8,9,0.5154600222465319
0,1.5296609607755782,0.12161946185825291,0.48647784743301165,614806.0,10,8,10,0.5776043370608398
0,1.3735995140647446,0.1775377804313788,0.7101511217255152,614803.0,11,8,11,0.6351083548399367
0,1.279725775970994,0.22250966373512135,0.8900386549404854,614800.0,12,8,12,0.6817023712484932
0,1.1883961798706812,0.28016131195140936,1.1206452478056375,614797.0,13,8,13,0.7233342386852906
0,1.1179383342109537,0.33514278764086136,1.3405711505634454,614794.0,14,8,14,0.7527661720812445
0,1.0395108952795737,0.40962963440306843,1.6385185376122737,614791.0,15,8,15,0.7854740176613885
0,0.9635674511323198,0.4943303653664385,1.977321461465754,614788.0,16,8,16,0.7785802923995601
0,0.8944766121187308,0.5806392966350411,2.3225571865401644,614785.0,17,8,17,0.7796287876957809
0,0.8335939100806102,0.6616441981208634,2.6465767924834536,614782.0,18,8,18,0.785738996140009
0,0.7796121773190308,0.7344277269844275,2.93771090793771,614779.0,19,8,19,0.827296927155177
0,0.7308087119728929,0.7979306482266059,3.1917225929064235,614776.0,20,8,20,0.8682501933935339
0,0.6940360890735974,0.8436668097987705,3.374667239195082,614773.0,21,8,21,0.8987045046576633
0,0.6565280763629106,0.8849871292993081,3.5399485171972325,614770.0,22,8,22,0.9300592170312086
0,0.6302638189453103,0.9117785557023642,3.647114222809457,614767.0,23,8,23,0.9520181074887333
0,0.6063253234731051,0.9331880810706044,3.7327523242824174,614764.0,24,8,24,0.9644485770601948
0,0.5795365359932172,0.9525343529363502,3.810137411745401,614761.0,25,8,25,0.9734745904152247
0,0.5547946836408011,0.9669684136627662,3.867873654651065,614758.0,26,8,26,0.9814314616032077
0,0.5376010449943479,0.9756950881243615,3.902780352497446,614755.0,27,8,27,0.9866257534240748
0,0.5185111790865797,0.983082655431341,3.932330621725364,614752.0,28,8,28,0.9818701743994375
