,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,6.991696620570529,0.008189156880883708,0.03275662752353483,444870.0,1,4,1,0.05045062227120583
0,0.7362149996188897,0.4789237971097766,1.9156951884391065,444867.0,2,4,2,0.14771916317645048
0,129.22098682513843,1.1319029884912913e-83,4.527611953965165e-83,444864.0,3,4,3,1.6170042692732733e-84
0,167.61784707191057,1.108110571559468e-143,4.432442286237872e-143,444861.0,4,4,4,1.5830151022278112e-144
0,135.40981559101928,5.809113740373944e-144,2.3236454961495776e-143,444858.0,5,4,5,8.29873391481992e-145
0,128.60490101785217,2.886917102893228e-163,1.154766841157291e-162,444855.0,6,4,6,4.124167289847468e-164
0,106.33976744594376,2.522448813300579e-156,1.0089795253202316e-155,444852.0,7,4,7,3.603498304715113e-157
0,99.17450426736933,7.725038775002993e-166,3.0900155100011973e-165,444849.0,8,4,8,1.1035769678575705e-166
0,86.74673574104544,4.197598461967419e-162,1.6790393847869676e-161,444846.0,9,4,9,5.996569231382027e-163
0,79.07657495862898,2.8121492554641056e-163,1.1248597021856422e-162,444843.0,10,4,10,4.017356079234437e-164
0,71.13082588148917,1.560981351435875e-160,6.2439254057435e-160,444840.0,11,4,11,2.229973359194107e-161
0,67.70142455059867,5.161368863296901e-166,2.0645475453187605e-165,444837.0,12,4,12,7.373384090424144e-167
0,61.67704515476683,8.07093455243134e-163,3.228373820972536e-162,444834.0,13,4,13,1.1529906503473343e-163
0,58.72242941663024,2.969290667966077e-166,1.1877162671864308e-165,444831.0,14,4,14,4.24184381138011e-167
0,53.99642404982979,9.127832311525798e-163,3.651132924610319e-162,444828.0,15,4,15,1.3039760445036854e-163
0,51.50843396146204,6.473573187528112e-165,2.5894292750112447e-164,444825.0,16,4,16,9.247961696468731e-166
0,47.80427782372284,1.2971850920513542e-161,5.188740368205417e-161,444822.0,17,4,17,1.8531215600733631e-162
