,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,0.25539452645000277,0.613302432487658,2.453209729950632,246454.0,1,1,1,0.4207460638087213
0,0.1855824638340927,0.8306204527166259,3.3224818108665035,246453.0,2,1,2,0.43782696367889096
0,0.3138576387390148,0.8153854311707116,3.2615417246828464,246451.0,3,1,3,0.4641671559497426
0,0.2768976468416882,0.8930656930157417,3.5722627720629667,246449.0,4,1,4,0.5195172160670216
0,0.37247071612027705,0.8678437666969847,3.471375066787939,246447.0,5,1,5,0.4940594734045911
0,0.3670988791261925,0.9001542074260873,3.6006168297043493,246445.0,6,1,6,0.5350833874342724
0,0.4730854227407049,0.8547582277135202,3.4190329108540807,246443.0,7,1,7,0.5417032996898646
0,0.41611453348749294,0.9120531172684767,3.648212469073907,246441.0,8,1,8,0.5278668041494644
0,0.6500686308235929,0.7547697010118917,3.0190788040475667,246439.0,9,1,9,0.5147062826666999
0,0.6041597910717644,0.8117543063866717,3.2470172255466867,246437.0,10,1,10,0.5029289640891204
0,0.5616323031315666,0.861227972446184,3.444911889784736,246435.0,11,1,11,0.5193123924014822
0,0.6500740763233926,0.8004876004253865,3.201950401701546,246433.0,12,1,12,0.5266298260995486
0,0.6354240148432526,0.8262207249185859,3.3048828996743436,246431.0,13,1,13,0.5502482294138491
0,0.5899749463036981,0.8753614021278283,3.5014456085113133,246429.0,14,1,14,0.5466515638676409
0,0.552392365512309,0.9118068126810253,3.647227250724101,246427.0,15,1,15,0.561788988242218
0,0.7600375509732493,0.7328490850259475,2.93139634010379,246425.0,16,1,16,0.5671305295109601
0,0.7194368701509948,0.7859832708950718,3.1439330835802872,246423.0,17,1,17,0.5833771668298513
0,0.6910365112915469,0.8237785319832831,3.2951141279331324,246421.0,18,1,18,0.5691910451498249
0,0.6548941436727995,0.8658219729104315,3.463287891641726,246419.0,19,1,19,0.5857417803507927
